payment_id,order_id,amount,payment_method,payment_status,payment_date
800050,600057,354.61,card,paid,2026-04-15
800051,600058,322.21,card,paid,2026-07-27
800052,600059,1478.19,card,paid,2026-06-03
800053,600060,691.38,CARD,paid,2026-03-10
800054,600061,525.88,card,paid,2026-02-26
800055,600062,1329.8,card,paid,2026-02-16
800056,600063,314.24,paypal,paid,2026-07-23
800057,600064,-4119.31,card,refunded,2026-08-13
800058,600065,2722.02, Bank Transfer ,paid,2026-05-08
800059,600066,729.0,bank_transfer,paid,2026-02-03
800060,600067,872.41,bank_transfer,paid,2026-03-31
800061,600068,198.32,card,paid,2026-04-11
800062,600069,1994.61,CARD,paid,2026-05-30
800063,600070,1986.18,cash,paid,2026-07-17
800064,600071,470.13,card,paid,2026-02-21
800065,600072,1937.43,CARD,paid,2026-04-12
800066,600074,726.42,card,paid,2026-05-11
800067,600075,2532.43,paypal,paid,2026-04-27
800068,600076,-1946.9,card,refunded,2026-05-13
800069,600077,139.94,card,paid,2026-01-21
800070,600078,2528.08,bank_transfer,paid,2026-05-25
800071,600079,1444.42,CARD,paid,2026-01-22
800072,600080,1839.22,paypal,paid,2026-04-27
800073,600081,2357.44,cash,paid,2026-06-04
800074,600082,813.9,CARD,paid,2026-02-24
800075,600083,1331.75, Bank Transfer ,paid,2026-06-16
800076,600084,3548.34, Bank Transfer ,paid,2026-02-16
800077,600085,1170.42,card,paid,2026-07-29
800078,600086,1029.21,paypal,paid,2026-04-22
800079,600087,819.96,bank_transfer,paid,2026-06-24
800080,600088,2016.02,card,paid,2026-05-20
800081,600089,611.25,card,paid,2026-03-28
800082,600090,1696.11, Bank Transfer ,paid,2026-08-10
800083,600091,380.18, Bank Transfer ,paid,2026-06-27
800084,600092,1279.28,card,paid,2026-04-07
800085,600093,1075.45,bank_transfer,paid,2026-07-05
800086,600094,954.45,paypal,paid,2026-08-14
800087,600095,852.52,bank_transfer,paid,2026-01-15
800088,600096,2313.71,CARD,paid,2026-07-28
800089,600098,2172.38,cash,paid,2026-05-31
800090,600099,0,cash,failed,2026-06-11
800091,600100,159.3,CARD,paid,2026-05-11
800092,600101,1794.18,bank_transfer,paid,2026-02-11
800093,600102,658.66,CARD,paid,2026-02-06
800094,600103,1031.01, Bank Transfer ,paid,2026-02-24
800095,600104,29.53, Bank Transfer ,paid,2026-06-03
800096,600105,92.65,paypal,paid,2026-07-19
800097,600106,663.72,bank_transfer,paid,2026-07-28
800098,600107,1981.86,card,paid,2026-05-26
800099,600108,1102.47,paypal,paid,2026-01-06
800100,600109,787.29,cash,paid,2026-04-09
800101,600110,968.68,bank_transfer,paid,2026-07-15
800102,600111,854.56,bank_transfer,paid,2026-04-18
800103,600112,1743.67,bank_transfer,paid,2026-08-01
800104,600113,2847.52,paypal,paid,2026-03-30
800105,600115,91.32,cash,paid,2026-02-18
800106,600116,333.76,CARD,paid,2026-03-10
800107,600118,1986.96,bank_transfer,paid,2026-04-21
800108,600119,2877.75,cash,paid,2026-05-20
800109,600120,1562.62, Bank Transfer ,paid,2026-02-27
800110,600121,837.17,card,paid,2026-04-29
800111,600122,822.83,CARD,paid,2026-05-28
800112,600123,3773.8, Bank Transfer ,paid,2026-03-03
800113,600124,1128.0,paypal,paid,2026-05-20
800114,600125,2300.53,cash,paid,2026-06-01
800115,600126,19.85,paypal,paid,2026-03-03
800116,600127,1850.39,card,paid,2026-05-13
800117,600128,1613.73,paypal,paid,2026-04-11
800118,600129,634.94,paypal,paid,2026-05-10
800119,600130,2196.76,card,paid,2026-02-20
800120,600131,192.95,bank_transfer,paid,2026-04-09
800121,600133,984.43,CARD,paid,2026-02-23
800122,600134,375.04,card,paid,2026-05-16
800123,600136,-2389.0,CARD,refunded,2026-01-18
800124,600137,2766.42,CARD,paid,2026-07-28
800125,600138,742.15,CARD,paid,2026-07-09
800126,600139,1680.65,bank_transfer,paid,2026-05-22
800127,600140,30.53,bank_transfer,paid,2026-04-19
800128,600141,1138.02,CARD,paid,2026-08-13
800129,600142,2251.69,cash,paid,2026-02-24
800130,600144,1046.33,CARD,paid,2026-01-10
800131,600145,1498.77,card,paid,2026-07-24
800132,600146,1493.42, Bank Transfer ,paid,2026-05-28
800133,600147,899.85,card,paid,2026-05-31
800134,600148,954.54,CARD,paid,2026-03-06
800135,600149,595.52,cash,paid,2026-03-10
800136,600151,616.66,card,paid,2026-03-17
800137,600152,1405.39,card,paid,2026-03-24
800138,600153,588.51,CARD,paid,2026-07-24
800139,600154,3697.95,paypal,paid,2026-05-20
800140,600155,1386.51, Bank Transfer ,paid,2026-06-09
800141,600156,1333.71,cash,paid,2026-02-10
800142,600157,580.86,CARD,paid,2026-05-24
800143,600158,0,card,paid,2026-05-18
800144,600159,949.42,bank_transfer,paid,2026-05-06
800145,600160,1843.0, Bank Transfer ,paid,2026-07-01
800146,600161,867.48,paypal,paid,2026-02-23
800147,600162,2026.99, Bank Transfer ,paid,2026-06-07
800148,600163,1308.61,card,paid,2026-06-19
800149,600164,1133.91, Bank Transfer ,paid,2026-07-31
800150,600165,1214.75,card,paid,2026-05-17
800151,600166,481.65,card,paid,2026-06-24
800152,600167,3088.53,paypal,paid,2026-02-09
800153,600168,3094.04,cash,paid,2026-03-06
800154,600169,303.5,card,paid,2026-02-15
800155,600170,1377.95,paypal,paid,2026-05-01
800156,600171,457.44,paypal,paid,2026-01-11
800157,600172,247.96,paypal,paid,2026-01-03
800158,600173,2059.46,cash,paid,2026-02-16
800159,600174,0,paypal,failed,2026-08-04
800160,600175,145.67,paypal,paid,2026-05-14
800161,600176,2024.73,bank_transfer,paid,2026-04-17
800162,600177,1442.72,cash,paid,2026-01-04
800163,600178,826.08,bank_transfer,paid,2026-05-01
800164,600179,749.4,paypal,paid,2026-01-06
800165,600181,1182.99, Bank Transfer ,paid,2026-07-23
800166,600183,813.71, Bank Transfer ,paid,2026-06-24
800167,600184,1786.76,paypal,paid,2026-02-16
800168,600185,1306.64,cash,paid,2026-03-12
800169,600186,837.62,card,paid,2026-05-24
800170,600187,502.34,cash,paid,2026-02-02
800171,600188,1213.35,bank_transfer,paid,2026-02-28
800172,600189,2939.72, Bank Transfer ,paid,2026-03-09
800173,600190,0, Bank Transfer ,failed,2026-04-10
800174,600191,1153.72,CARD,paid,2026-04-15
800175,600192,3482.12,CARD,paid,2026-05-12
800176,600193,2381.59,card,paid,2026-02-09
800177,600194,623.14,CARD,paid,2026-04-19
800178,600196,802.34, Bank Transfer ,paid,2026-03-01
800179,600198,0,CARD,failed,2026-04-03
800180,600199,2435.64,cash,paid,2026-06-04
800181,600200,671.1,bank_transfer,paid,2026-06-08
800182,600201,328.71,paypal,paid,2026-07-10
800183,600202,695.68,bank_transfer,paid,2026-04-17
800184,600203,1601.94, Bank Transfer ,paid,2026-02-12
800185,600204,1075.57,paypal,paid,2026-06-16
800186,600205,80.28,card,paid,2026-03-24
800187,600206,689.08,cash,paid,2026-03-08
800188,600207,1372.8,cash,paid,2026-07-07
800189,600209,99.32,cash,paid,2026-03-18
800190,600210,1799.26,cash,paid,2026-04-23
800191,600211,518.46,cash,paid,2026-06-06
800192,600212,2475.94,cash,paid,2026-03-25
800193,600213,444.12,cash,paid,2026-02-11
800194,600214,164.22,CARD,paid,2026-08-12
800195,600215,2367.27,bank_transfer,paid,2026-03-03
800196,600216,673.82,CARD,paid,2026-03-03
800197,600220,134.64,CARD,paid,2026-06-21
800198,600221,432.15, Bank Transfer ,paid,2026-01-23
800199,600222,2079.19,cash,paid,2026-08-14
800200,600223,3658.61,bank_transfer,paid,2026-07-02
800201,600224,0,cash,failed,2026-07-30
800202,600225,295.66, Bank Transfer ,paid,2026-03-05
800203,600226,251.34,bank_transfer,paid,2026-08-11
800204,600227,1062.58,card,paid,2026-08-06
800205,600228,1055.43,bank_transfer,paid,2026-03-04
800206,600229,2695.42,CARD,paid,2026-04-21
800207,600230,2249.88,bank_transfer,paid,2026-02-24
800208,600231,1233.82,CARD,paid,2026-04-03
800209,600232,1171.78,cash,paid,2026-06-28
800210,600233,276.16, Bank Transfer ,paid,2026-06-09
800211,600234,448.65,paypal,paid,2026-02-28
800212,600235,1756.34,card,paid,2026-03-04
800213,600236,797.31,CARD,paid,2026-04-16
800214,600237,1085.8,paypal,paid,2026-07-11
800215,600238,1768.86, Bank Transfer ,paid,2026-08-08
800216,600239,1376.67,paypal,paid,2026-06-20
800217,600241,2819.77,paypal,paid,2026-02-24
800218,600242,1571.1,CARD,paid,2026-03-29
800219,600243,2479.41,CARD,paid,2026-04-15
800220,600244,0,card,paid,2026-03-28
800221,600245,910.76,cash,paid,2026-06-12
800222,600246,-1443.67,cash,refunded,2026-03-20
800223,600247,954.8,card,paid,2026-06-03
800224,600248,0,paypal,failed,2026-04-06
800225,600250,517.52,bank_transfer,paid,2026-04-12
800226,600252,20.69,paypal,paid,2026-04-15
800227,600253,3812.91,paypal,paid,2026-06-06
800228,600254,2606.65,card,paid,2026-03-17
800229,600255,905.7,bank_transfer,paid,2026-02-09
800230,600256,95.63,card,paid,2026-07-02
800231,600257,873.3,paypal,paid,2026-07-23
800232,600258,1234.09,bank_transfer,paid,2026-02-07
800233,600259,1497.15,bank_transfer,paid,2026-03-15
800234,600260,200.66,cash,paid,2026-08-14
800235,600261,1686.9,bank_transfer,paid,2026-06-08
800236,600262,1608.45,paypal,paid,2026-07-28
800237,600263,712.19,card,paid,2026-08-03
800238,600264,3022.83,cash,paid,2026-02-01
800239,600265,324.87,paypal,paid,2026-02-19
800240,600266,3430.51, Bank Transfer ,paid,2026-04-12
800241,600267,1701.89,CARD,paid,2026-05-04
800242,600268,1162.57,bank_transfer,paid,2026-04-28
800243,600269,940.68,paypal,paid,2026-03-28
800244,600270,431.8,paypal,paid,2026-03-03
800245,600271,1701.26,cash,paid,2026-08-09
800246,600272,275.07,CARD,paid,2026-08-10
800247,600273,2969.46,bank_transfer,paid,2026-07-28
800248,600274,2617.75, Bank Transfer ,paid,2026-02-15
800249,600275,1011.69,bank_transfer,paid,2026-03-10
800250,600276,394.16,cash,paid,2026-04-15
800251,600277,1853.91,card,paid,2026-03-22
800252,600278,84.67,bank_transfer,paid,2026-08-14
800253,600279,2549.7,card,paid,2026-01-07
800254,600280,691.06,card,paid,2026-07-19
800255,600281,1132.1,paypal,paid,2026-08-07
800256,600282,-651.35,card,refunded,2026-04-07
800257,600283,0,CARD,failed,2026-05-04
800258,600284,1078.44,cash,paid,2026-06-20
800259,600285,3409.89, Bank Transfer ,paid,2026-05-09
800260,600286,332.8,CARD,paid,2026-08-14
800261,600287,2011.46,bank_transfer,paid,2026-04-02
800262,600288,1717.3,CARD,paid,2026-03-25
800263,600289,1110.77,bank_transfer,paid,2026-04-21
800264,600290,540.96,cash,paid,2026-07-13
800265,600291,1310.45,bank_transfer,paid,2026-02-23
800266,600292,226.46,cash,paid,2026-07-05
800267,600294,1760.76,cash,paid,2026-07-20
800268,600295,-2176.05,card,refunded,2026-07-31
800269,600297,819.68,bank_transfer,paid,2026-01-17
800270,600298,644.58,paypal,paid,2026-02-03
800271,600299,1115.92,paypal,paid,2026-03-25
800272,600301,1361.2,cash,paid,2026-03-06
800273,600302,1086.48,CARD,paid,2026-02-06
800274,600303,920.44,cash,paid,2026-05-07
800275,600305,1855.83,card,paid,2026-05-11
800276,600306,90.09,bank_transfer,paid,2026-03-29
800277,600307,202.63,CARD,paid,2026-01-01
800278,600308,243.88,CARD,paid,2026-07-11
800279,600309,836.32,card,paid,2026-04-03
800280,600310,1220.19,CARD,paid,2026-02-22
800281,600311,1030.8,CARD,paid,2026-07-31
800282,600312,0,cash,failed,2026-02-13
800283,600313,29.63, Bank Transfer ,paid,2026-06-12
800284,600314,761.4,CARD,paid,2026-02-14
800285,600315,1317.45,paypal,paid,2026-01-04
800286,600316,1204.62,paypal,paid,2026-03-30
800287,600317,1678.68, Bank Transfer ,paid,2026-05-22
800288,600319,1666.28, Bank Transfer ,paid,2026-04-02
800289,600320,0,paypal,paid,2026-05-21
800290,600321,0,card,failed,2026-06-30
800291,600322,1731.16,bank_transfer,paid,2026-05-05
800292,600323,1379.68,cash,paid,2026-05-13
800293,600324,280.54, Bank Transfer ,paid,2026-05-27
800294,600325,1282.95,CARD,paid,2026-01-02
800295,600326,105.81,card,paid,2026-03-26
800296,600328,3314.15,CARD,paid,2026-04-15
800297,600329,1435.86,paypal,paid,2026-03-16
800298,600330,1729.22,card,paid,2026-03-05
800299,600331,719.7,bank_transfer,paid,2026-03-19
800300,600332,258.58,bank_transfer,paid,2026-05-23
800301,600333,467.93, Bank Transfer ,paid,2026-06-18
800302,600334,1893.87,paypal,paid,2026-06-05
800303,600335,325.14,cash,paid,2026-06-02
800304,600336,2233.0,bank_transfer,paid,2026-07-29
800305,600338,900.4, Bank Transfer ,paid,2026-07-25
800306,600339,1550.85,CARD,paid,2026-07-12
800307,600340,2652.23,paypal,paid,2026-02-17
800308,600343,881.24,cash,paid,2026-08-04
800309,600344,1500.22,bank_transfer,paid,2026-06-18
800310,600345,593.88,cash,paid,2026-05-22
800311,600346,2809.1,card,paid,2026-07-31
800312,600347,1284.08,bank_transfer,paid,2026-07-01
800313,600348,0,CARD,failed,2026-02-14
800314,600349,1669.85, Bank Transfer ,paid,2026-06-27
800315,600350,2537.83,bank_transfer,paid,2026-05-09
800316,600351,484.83,bank_transfer,paid,2026-01-20
800317,600352,2407.46,bank_transfer,paid,2026-04-16
800318,600353,1388.35,bank_transfer,paid,2026-04-10
800319,600354,682.04,bank_transfer,paid,2026-05-02
800320,600355,1729.37, Bank Transfer ,paid,2026-01-05
800321,600356,1344.52,CARD,paid,2026-01-15
800322,600357,2656.36,card,paid,2026-01-17
800323,600358,231.28,paypal,paid,2026-02-18
800324,600360,852.67,card,paid,2026-01-10
800325,600361,2672.15, Bank Transfer ,paid,2026-01-23
800326,600362,1018.1, Bank Transfer ,paid,2026-07-21
800327,600363,1995.07,bank_transfer,paid,2026-05-18
800328,600364,509.52,card,paid,2026-03-29
800329,600365,4066.48,paypal,paid,2026-06-09
800330,600366,-2149.57, Bank Transfer ,refunded,2026-01-11
800331,600367,-2028.34,paypal,refunded,2026-02-08
800332,600368,1736.23,cash,paid,2026-05-04
800333,600369,2870.72,CARD,paid,2026-04-24
800334,600370,648.84,bank_transfer,paid,2026-01-15
800335,600371,2735.98,CARD,paid,2026-05-05
800336,600372,2256.01,card,paid,2026-02-08
800337,600374,81.84,cash,paid,2026-03-09
800338,600375,3207.82,bank_transfer,paid,2026-07-19
800339,600376,2253.68,cash,paid,2026-02-12
800340,600377,1052.04,card,paid,2026-04-19
800341,600378,130.2, Bank Transfer ,paid,2026-05-23
800342,600380,2430.11,cash,paid,2026-06-26
800343,600381,1894.94,CARD,paid,2026-06-12
800344,600382,1153.44,cash,paid,2026-07-15
800345,600383,674.62,card,paid,2026-01-03
800346,600385,150.84,cash,paid,2026-05-22
800347,600386,164.16,bank_transfer,paid,2026-07-19
800348,600388,464.12,bank_transfer,paid,2026-03-24
800349,600389,2409.8,CARD,paid,2026-06-20
800350,600390,719.52,card,paid,2026-07-28
800351,600392,3597.72,CARD,paid,2026-02-08
800352,600393,583.08, Bank Transfer ,paid,2026-03-17
800353,600394,1034.81,paypal,paid,2026-06-23
800354,600396,1202.84,bank_transfer,paid,2026-06-12
800355,600397,2826.34,bank_transfer,paid,2026-01-25
800356,600399,966.57,bank_transfer,paid,2026-04-04
800357,600401,1265.7,CARD,paid,2026-03-26
800358,600402,749.39, Bank Transfer ,paid,2026-08-11
800359,600403,0, Bank Transfer ,failed,2026-05-04
800360,600404,864.62,CARD,paid,2026-07-25
800361,600406,686.64,cash,paid,2026-06-12
800362,600407,1685.52,cash,paid,2026-05-11
800363,600409,138.6, Bank Transfer ,paid,2026-01-12
800364,600410,1826.34,CARD,paid,2026-07-13
800365,600411,1616.52,bank_transfer,paid,2026-07-24
800366,600412,1867.52, Bank Transfer ,paid,2026-06-20
800367,600413,252.19, Bank Transfer ,paid,2026-03-15
800368,600414,0,cash,failed,2026-03-25
800369,600415,929.0,paypal,paid,2026-04-28
800370,600416,1857.39, Bank Transfer ,paid,2026-02-18
800371,600417,731.28,bank_transfer,paid,2026-06-13
800372,600418,2306.77, Bank Transfer ,paid,2026-07-20
800373,600419,2467.0,card,paid,2026-02-28
800374,600420,1301.05,bank_transfer,paid,2026-04-28
800375,600421,343.5,cash,paid,2026-03-31
800376,600422,1229.85,paypal,paid,2026-08-13
800377,600423,755.56,card,paid,2026-04-07
800378,600424,1451.72,card,paid,2026-01-20
800379,600425,1247.7,paypal,paid,2026-06-12
800380,600426,1968.96,CARD,paid,2026-05-05
800381,600427,2350.94,card,paid,2026-04-18
800382,600429,3086.22,bank_transfer,paid,2026-01-28
800383,600432,1288.79,card,paid,2026-06-29
800384,600433,1204.49, Bank Transfer ,paid,2026-02-11
800385,600434,2061.04,cash,paid,2026-02-17
800386,600435,38.3,paypal,paid,2026-05-04
800387,600436,888.35, Bank Transfer ,paid,2026-01-06
800388,600437,-593.98,bank_transfer,refunded,2026-06-26
800389,600438,3714.34, Bank Transfer ,paid,2026-04-21
800390,600439,375.0, Bank Transfer ,paid,2026-05-11
800391,600440,953.08,card,paid,2026-07-24
800392,600441,1216.06,card,paid,2026-07-02
800393,600442,508.56,card,paid,2026-03-10
800394,600443,1551.87,card,paid,2026-04-20
800395,600444,476.78, Bank Transfer ,paid,2026-07-18
800396,600445,-1879.26,card,refunded,2026-06-25
800397,600446,789.45,card,paid,2026-01-04
800398,600447,823.77,paypal,paid,2026-05-09
800399,600450,475.94,cash,paid,2026-02-17
800400,600451,373.04,bank_transfer,paid,2026-02-09
800401,600452,2076.46,bank_transfer,paid,2026-01-03
800402,600453,1681.22,card,paid,2026-01-26
800403,600454,211.17,paypal,paid,2026-04-24
800404,600455,0, Bank Transfer ,failed,2026-04-08
800405,600456,1816.99,bank_transfer,paid,2026-01-05
800406,600457,1205.59, Bank Transfer ,paid,2026-07-06
800407,600458,2784.17,bank_transfer,paid,2026-02-07
800408,600459,2290.86,card,paid,2026-05-09
800409,600460,880.07,CARD,paid,2026-07-06
800410,600461,1455.14,card,paid,2026-01-22
800411,600462,755.31,bank_transfer,paid,2026-08-02
800412,600463,2220.01,CARD,paid,2026-05-31
800413,600464,1156.84,bank_transfer,paid,2026-05-18
800414,600465,2486.57,paypal,paid,2026-05-13
800415,600466,410.08, Bank Transfer ,paid,2026-02-10
800416,600467,1005.42,CARD,paid,2026-06-26
800417,600468,2262.66,paypal,paid,2026-07-02
800418,600469,1246.01,card,paid,2026-07-28
800419,600470,1315.69, Bank Transfer ,paid,2026-05-04
800420,600471,1790.27,card,paid,2026-05-30
800421,600472,672.92,paypal,paid,2026-05-13
800422,600473,-1390.6,CARD,refunded,2026-03-05
800423,600475,2625.2,card,paid,2026-04-07
800424,600476,3129.05,paypal,paid,2026-03-13
800425,600477,2596.4,bank_transfer,paid,2026-06-02
800426,600478,2352.13,cash,paid,2026-04-20
800427,600479,-1017.0,paypal,refunded,2026-01-28
800428,600480,2636.33,bank_transfer,paid,2026-06-17
800429,600481,0,CARD,failed,2026-03-27
800430,600482,1946.08,CARD,paid,2026-04-21
800431,600483,737.81,paypal,paid,2026-02-06
800432,600484,566.9,bank_transfer,paid,2026-07-19
800433,600485,793.11, Bank Transfer ,paid,2026-04-19
800434,600486,1452.76,CARD,paid,2026-01-26
800435,600487,1387.62,card,paid,2026-08-13
800436,600488,515.23,bank_transfer,paid,2026-06-01
800437,600489,1944.54, Bank Transfer ,paid,2026-07-20
800438,600490,2035.28, Bank Transfer ,paid,2026-05-18
800439,600491,1964.98,bank_transfer,paid,2026-07-18
800440,600493,2080.98,paypal,paid,2026-04-18
800441,600494,615.04,bank_transfer,paid,2026-08-13
800442,600495,0,bank_transfer,failed,2026-03-20
800443,600496,0, Bank Transfer ,failed,2026-04-18
800444,600497,2558.27,cash,paid,2026-02-01
800445,600498,2699.37,bank_transfer,paid,2026-06-18
800446,600500,2422.54,cash,paid,2026-05-26
800447,600501,219.26,paypal,paid,2026-03-27
800448,600502,997.92,card,paid,2026-07-27
800449,600503,1963.56, Bank Transfer ,paid,2026-04-04
800450,600504,2424.87,CARD,paid,2026-05-15
800451,600505,55.41,card,paid,2026-05-05
800452,600506,927.67,paypal,paid,2026-06-24
800453,600507,2478.0, Bank Transfer ,paid,2026-02-24
800454,600508,748.69,card,paid,2026-03-21
800455,600509,544.69,bank_transfer,paid,2026-08-04
800456,600510,1433.87,cash,paid,2026-07-01
800457,600511,31.1,bank_transfer,paid,2026-02-20
800458,600512,711.15,CARD,paid,2026-03-31
800459,600513,471.96,bank_transfer,paid,2026-05-24
800460,600514,1071.61,paypal,paid,2026-07-12
800461,600515,974.9,card,paid,2026-01-30
800462,600516,1476.54,CARD,paid,2026-02-04
800463,600517,1377.33,bank_transfer,paid,2026-05-31
800464,600518,576.18,cash,paid,2026-05-06
800465,600520,746.91, Bank Transfer ,paid,2026-05-09
800466,600521,11.76, Bank Transfer ,paid,2026-08-10
800467,600522,1796.13,paypal,paid,2026-05-31
800468,600523,665.37,bank_transfer,paid,2026-01-28
800469,600524,1561.46,bank_transfer,paid,2026-07-02
800470,600525,1282.6, Bank Transfer ,paid,2026-04-05
800471,600526,22.81,CARD,paid,2026-02-12
800472,600527,1499.34, Bank Transfer ,paid,2026-01-06
800473,600528,2648.28,CARD,paid,2026-01-21
800474,600529,152.0,paypal,paid,2026-04-26
800475,600530,621.65,cash,paid,2026-07-11
800476,600532,129.28,CARD,paid,2026-01-13
800477,600533,418.06,CARD,paid,2026-01-06
800478,600534,266.62,cash,paid,2026-07-23
800479,600535,2331.61,bank_transfer,paid,2026-05-29
800480,600536,686.7,cash,paid,2026-07-29
800481,600537,1041.06,paypal,paid,2026-06-16
800482,600538,0,CARD,failed,2026-04-30
800483,600539,813.74,card,paid,2026-03-21
800484,600540,829.16,cash,paid,2026-04-24
800485,600541,-995.36, Bank Transfer ,refunded,2026-03-24
800486,600542,1334.49,CARD,paid,2026-04-11
800487,600543,1601.6, Bank Transfer ,paid,2026-05-14
800488,600544,968.64,cash,paid,2026-03-01
800489,600545,74.52,paypal,paid,2026-05-12
800490,600546,400.89,card,paid,2026-02-18
800491,600547,708.22, Bank Transfer ,paid,2026-05-07
800492,600548,752.22,CARD,paid,2026-08-03
800493,600549,2746.11,CARD,paid,2026-02-28
800494,600550,1513.44,cash,paid,2026-03-02
800495,600551,1182.96, Bank Transfer ,paid,2026-07-19
800496,600552,308.25, Bank Transfer ,paid,2026-03-28
800497,600554,667.7, Bank Transfer ,paid,2026-07-28
800498,600555,122.01,cash,paid,2026-03-20
800499,600556,95.74,cash,paid,2026-08-06
800500,600557,1341.57,bank_transfer,paid,2026-01-08
800501,600558,147.46,CARD,paid,2026-05-01
800502,600559,-596.66,paypal,refunded,2026-02-21
800503,600560,1684.77,cash,paid,2026-05-27
800504,600561,1310.47,cash,paid,2026-05-06
800505,600562,45.64,bank_transfer,paid,2026-07-19
800506,600563,2743.05,cash,paid,2026-06-27
800507,600564,2664.85,card,paid,2026-02-09
800508,600565,1394.25,CARD,paid,2026-05-28
800509,600566,1082.39,paypal,paid,2026-04-27
800510,600567,1664.23,paypal,paid,2026-05-01
800511,600568,504.81, Bank Transfer ,paid,2026-07-05
800512,600569,116.74,card,paid,2026-06-28
800513,600570,510.68,CARD,paid,2026-01-05
800514,600571,315.29,bank_transfer,paid,2026-07-08
800515,600572,2475.48,card,paid,2026-03-04
800516,600573,267.44,paypal,paid,2026-04-05
800517,600574,571.1,card,paid,2026-02-23
800518,600575,1068.44,CARD,paid,2026-05-11
800519,600576,1652.1, Bank Transfer ,paid,2026-03-17
800520,600577,1016.73, Bank Transfer ,paid,2026-07-09
800521,600579,609.2,cash,paid,2026-02-01
800522,600581,827.84,cash,paid,2026-05-07
800523,600582,161.56,cash,paid,2026-06-22
800524,600583,529.81,paypal,paid,2026-01-26
800525,600584,511.62,cash,paid,2026-08-14
800526,600585,505.92,paypal,paid,2026-01-06
800527,600586,939.13,bank_transfer,paid,2026-01-28
800528,600587,1300.12,CARD,paid,2026-03-07
800529,600589,2264.61,cash,paid,2026-06-29
800530,600590,1424.96,CARD,paid,2026-05-29
800531,600591,2281.87, Bank Transfer ,paid,2026-07-12
800532,600592,1329.96,paypal,paid,2026-05-19
800533,600593,936.18,card,paid,2026-05-08
800534,600594,3830.61,bank_transfer,paid,2026-03-14
800535,600595,603.92,card,paid,2026-08-05
800536,600596,532.44,bank_transfer,paid,2026-07-02
800537,600597,2197.54,cash,paid,2026-01-04
800538,600598,1684.72,CARD,paid,2026-07-20
800539,600599,69.39,card,paid,2026-06-19
800540,600600,0,cash,failed,2026-05-26
800541,600601,1320.24,CARD,paid,2026-02-18
800542,600602,1167.57,card,paid,2026-02-03
800543,600603,1273.22,card,paid,2026-03-20
800544,600604,2089.99,cash,paid,2026-03-16
800545,600605,1877.54,card,paid,2026-05-23
800546,600606,934.65,bank_transfer,paid,2026-07-09
800547,600607,108.96,card,paid,2026-02-14
800548,600608,1648.7,cash,paid,2026-07-09
800549,600609,1199.35,card,paid,2026-02-14
800550,600610,681.58,cash,paid,2026-03-17
800551,600611,1615.49,paypal,paid,2026-05-18
